,Prediction
196,12.239717169292724
197,11.708812525851812
198,11.985456509789614
199,12.742727093692865
200,13.781307589258647
201,12.326179863408845
202,11.49085309372214
203,11.078034060108607
204,12.567237354610812
205,14.480267682246012
206,14.577097165533898
207,12.706451671528518
208,11.332127234596113
209,15.165885432112269
210,13.594627661790842
211,14.30030797224703
212,12.404085064441487
213,12.443958943711054
214,12.465375794184656
215,12.53683772656034
216,12.72543458599131
217,13.275196212696873
218,13.97912936442889
219,12.03434513256329
220,12.758781574039482
221,11.724403816728444
222,15.101588302131482
223,12.616722445882676
224,13.937780425302613
225,11.256534370549891
226,12.87479783696433
227,8.762491305243838
228,14.34893193459685
229,12.19228666771615
230,12.543693345159694
231,12.907757832656118
232,13.832150722830603
233,11.06521512250358
234,11.720921685956474
235,12.692013852077508
236,11.80354109724213
237,16.690032245116264
238,11.736946560638222
239,14.083540140229966
240,12.693431735705508
241,12.116551630601423
242,13.03488032907708
243,11.897767440014938
244,14.662036457499369
245,14.325953302458478
246,12.81736601050146
247,16.247095454764843
248,12.759295946216334
249,13.65373011412116
250,11.507836636427593
251,13.882777831244047
252,14.18325390050493
253,11.419180347400427
254,11.403268666287216
255,12.560363535001288
256,12.784892852925456
257,12.508985088445558
258,14.725015398379158
259,13.365289478099276
260,14.690845784449268
261,12.677143501962828
262,11.958435969152145
263,12.372586387382658
264,12.514129760253576
265,13.011645361771466
266,14.582182699437423
267,14.906035778912079
268,14.417268895416825
269,12.596150059839276
270,12.756420359919332
271,11.765990103151378
272,12.202925739571453
273,12.494548206789135
274,12.58962084388944
275,12.27597959516623
276,12.644376018495835
277,15.686603291781957
278,13.128387701073422
279,12.663983875865311
280,13.396285147303033
281,11.542876909218688
282,12.364400318868169
283,12.33933064346684
284,11.7701051628044
285,12.782368166322998
286,12.63638598341896
287,12.452969846992039
288,13.985564117390938
289,12.316168176676438
290,12.579176346860164
291,12.227464308263066
292,13.165783059077906
293,13.126192904206066
294,11.606061764463576
295,12.376302639083406
296,11.008822000572337
297,11.581963393323745
298,11.608860651084699
299,11.949440365905607
300,11.290682307354441
301,12.227760496171626
302,12.239270898487836
303,10.323840901944777
304,11.688508843498088
305,14.731524680871159
306,10.977309047093534
307,14.41376038375408
308,12.044807459262655
309,14.240483242733344
310,13.573245238431907
311,12.149593067980314
312,10.667163941272308
313,11.451572141615266
314,11.769408263697123
315,13.758997720799815
316,12.747817846591419
317,12.61718897312167
318,11.836589579805464
319,9.909025847059883
320,12.76493481718301
321,12.487196205239908
322,14.370926557691691
323,11.604140844164778
324,15.355642729263174
325,12.638181890475542
326,15.102931000481279
327,14.818583071795825
328,10.706280811723728
329,10.612114054838692
330,12.251151522847985
331,12.342010428121611
332,12.278649464572558
333,12.821505042428784
334,13.404985562594886
335,11.51678206294594
336,11.278794283702817
337,12.273844052285593
338,11.438913130259714
339,14.070266669164091
340,14.10030597138117
341,11.590602331811336
342,13.292302588693614
343,13.087779385202413
344,10.860859520734781
345,11.981483715093319
346,12.381454921518813
347,12.085190193668389
348,13.022762804951485
349,13.528602285607992
350,13.60945064055865
351,14.43635426667336
352,11.89816017953139
353,13.336598270877353
354,12.733457446587224
355,11.84399326502681
356,10.931202016900732
357,11.39898594105445
358,14.633293117268396
359,14.573799921077006
360,12.447688592006894
361,12.831590145428228
362,12.501400826032793
363,13.441204701427218
364,13.837186834672977
365,12.122869788682058
366,12.74581216575206
367,11.726119966778155
368,16.146863968033184
369,11.911878222224829
370,14.574572525963388
371,12.561190185664646
372,14.48798158970843
373,15.052483687406653
374,12.513076200505312
375,13.206466752151767
376,13.368356185593557
377,11.613180620075395
378,10.493631070672764
379,10.36016202793594
380,12.468307074821421
381,12.39113868364894
382,11.147273831105784
383,11.678343564806763
384,10.234869655612055
385,15.35251069317101
386,11.152574723172714
387,12.735533973675157
388,11.124300792772122
389,11.387080820095328
390,11.252342666234513
391,14.910636663655035
392,9.759922008989928
393,11.716330025911187
394,12.435932082360038
395,11.81407061354788
396,12.616276581074336
397,13.334937211170349
398,14.230238112072598
399,11.603049446208187
400,11.603049446208187
401,13.497568697356721
402,14.004107124896686
403,12.480818108612365
404,11.355323839476409
405,11.485856254534553
406,12.547034658027195
407,13.762041631238754
408,12.182915620849744
409,12.10762187295726
410,13.738010430427162
411,13.38981458271006
412,12.640152492175408
413,14.038358769075247
414,13.533476577752959
415,11.612193347800325
416,13.909694563105568
417,12.658336146683821
418,12.295873311374589
419,11.483138661704436
420,11.461545925671036
421,11.920913268796935
422,15.864808366852508
423,14.793110709553755
424,12.598842259383012
425,13.052970253748425
426,12.71698582055489
427,11.950147957901226
428,13.558867297297002
429,12.453255147517318
430,14.101289915146712
431,12.238013356794129
432,13.63806516549376
433,13.669519065656269
434,12.788770709895509
435,14.110338813269355
436,11.086177976565466
437,11.086177976565466
438,11.004984969958223
439,14.868226794992282
440,11.368185271227262
441,14.060971241308406
442,11.385990613932007
443,12.477286422178226
444,10.371611370056899
445,11.604680987342093
446,11.422817954731698
447,11.038301435492501
448,11.964557596729184
449,13.24870249436977
450,13.626170935990519
451,11.87951500115934
452,15.14939664420791
453,14.116288125545404
454,14.617835485121196
455,11.535394929492142
456,13.025048409787995
457,14.832561591547535
458,10.96173395166595
459,12.39236494522488
460,13.186242126931296
461,10.009357655442482
462,12.553588399528195
463,13.518242388094208
464,14.075507947413842
465,14.708538213788163
466,11.38155428681653
467,11.57395934583506
468,12.733717935871944
469,11.787428002594924
470,9.804378102183081
471,10.118077731533477
472,11.000065642771862
473,12.891014500803564
474,12.472192696052412
475,12.381281671864848
